ID,Title,Author,Year,Format,File
1,The turn of the key,Ruth Ware,2019,PDF,ebook/The turn of the key.pdf
2,Pelukis Bisu,Alex Michaelides,2019,PDF,ebook/Pelukis Bisu.pdf
3,William,Risa Saraswati,2017,PDF,ebook/William.pdf
4,Samantha,Risa Saraswati,2018,PDF,ebook/Samantha.pdf
5,Di Bawah Bendera Hitam,Alimin Prawirodirdjo,2019,PDF,ebook/Di Bawah Bendera Hitam.pdf
6,Cantik Itu Luka,Eka Kurniawan,2015,PDF,ebook/Cantik Itu Luka.pdf
7,Menjegal Film Indonesia,Eric Sasono,2011,PDF,ebook/Menjegal Film Indonesia.pdf
8,Gone Girl,Gillian Flynn,2012,PDF,ebook/Gone Girl.pdf
9,Ramadhan In Java,Andre Moller,2005,PDF,ebook/Ramadhan In Java.pdf
10,The Borrowed,Chan Ho Kei,2014,PDF,ebook/The Borrowed.pdf
11,RingkasanMateriVR,Naiya Nashifa,13040123140114,PDF,ebook/RingkasanMateriVR.pdf
